epoch,loss,lr,pr_auc,precision,recall,roc_auc,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,1.577850103378296,0.001,0.023969797417521477,0.010964295826852322,0.7428571581840515,0.876136064529419,0.2861040234565735,0.36397886276245117,0.028219599276781082,0.8088235259056091,0.9495362043380737
1,0.3789275884628296,0.001,0.11233142763376236,0.026273023337125778,0.9238095283508301,0.9800425171852112,0.23736689984798431,0.1986878663301468,0.03695324435830116,0.720588207244873,0.9203280210494995
2,0.13776881992816925,0.001,0.2963656187057495,0.06004618853330612,0.9904761910438538,0.9961711764335632,0.1524997502565384,0.13481642305850983,0.07680000364780426,0.7058823704719543,0.8818045258522034
3,0.19156911969184875,0.001,0.1880258172750473,0.04744011163711548,0.961904764175415,0.9937556982040405,0.136266827583313,0.24446764588356018,0.06315789371728897,0.7058823704719543,0.8877682685852051
4,0.1254635602235794,0.001,0.2007998824119568,0.06138259917497635,0.9809523820877075,0.9958782196044922,0.05202773958444595,0.40895697474479675,0.19583334028720856,0.6911764740943909,0.8425129055976868
5,0.3248899281024933,0.001,0.12891292572021484,0.05531453341245651,0.9714285731315613,0.9838303327560425,0.05185289308428764,0.4415390193462372,0.19087137281894684,0.6764705777168274,0.8360429406166077
6,0.07781905680894852,0.001,0.3090774416923523,0.10553278774023056,0.9809523820877075,0.9979197978973389,0.02964520826935768,0.574186384677887,0.3239436745643616,0.6764705777168274,0.8601579070091248
7,0.3137541115283966,0.001,0.20315100252628326,0.05696559324860573,0.961904764175415,0.9858613014221191,0.04090987518429756,0.6136048436164856,0.20888888835906982,0.6911764740943909,0.8609720468521118
8,0.04749976843595505,0.001,0.6724701523780823,0.15805470943450928,0.9904761910438538,0.9993932247161865,0.02999049797654152,0.5703043937683105,0.5974025726318359,0.6764705777168274,0.8393937945365906
9,0.015981780365109444,0.001,0.8360770344734192,0.37906137108802795,1.0,0.9998232126235962,0.07385478168725967,0.3784101605415344,0.13294798135757446,0.6764705777168274,0.8689452409744263
10,0.06740513443946838,0.001,0.6259893774986267,0.2673521935939789,0.9904761910438538,0.9992730617523193,0.04507284238934517,0.5395898818969727,0.34328359365463257,0.6764705777168274,0.8290294408798218
11,0.04910801723599434,0.001,0.4819607436656952,0.16910569369792938,0.9904761910438538,0.9989887475967407,0.03920687735080719,0.5529606938362122,0.47422680258750916,0.6764705777168274,0.8344107270240784
12,0.038631949573755264,0.0005,0.5896404385566711,0.2208067923784256,0.9904761910438538,0.9993528723716736,0.03694818541407585,0.5681819319725037,0.6764705777168274,0.6764705777168274,0.8365930914878845
13,0.024599364027380943,0.0005,0.6477182507514954,0.2632911503314972,0.9904761910438538,0.999525785446167,0.03596339002251625,0.5724453926086426,0.6216216087341309,0.6764705777168274,0.8425933122634888
14,0.034792084246873856,0.0005,0.7390811443328857,0.32198143005371094,0.9904761910438538,0.999649703502655,0.04042196273803711,0.5696291923522949,0.5111111402511597,0.6764705777168274,0.8347717523574829
15,0.037399616092443466,0.0005,0.702143669128418,0.3014492690563202,0.9904761910438538,0.9995942115783691,0.04237208515405655,0.5697339177131653,0.5974025726318359,0.6764705777168274,0.8352012038230896
16,0.0054939379915595055,0.0005,0.8606557250022888,0.6176470518112183,1.0,0.9998709559440613,0.04408758506178856,0.5707942247390747,0.8363636136054993,0.6764705777168274,0.8375244736671448
17,0.0034239671658724546,0.00025,0.8791807889938354,0.7894737124443054,1.0,0.999890148639679,0.043840937316417694,0.5707854628562927,0.8363636136054993,0.6764705777168274,0.8375147581100464
18,0.015774808824062347,0.00025,0.8782140016555786,0.6153846383094788,0.9904761910438538,0.9998824000358582,0.05415034666657448,0.5702459216117859,0.6478873491287231,0.6764705777168274,0.836675226688385
19,0.035992443561553955,0.00025,0.8114903569221497,0.568306028842926,0.9904761910438538,0.999787449836731,0.04653718322515488,0.5700547695159912,0.5974025726318359,0.6764705777168274,0.836226224899292
