epoch,loss,lr,pr_auc,precision,recall,roc_auc,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,0.7471016049385071,0.001,0.024687865749001503,0.0061743794940412045,0.9428571462631226,0.9363164901733398,0.1805112361907959,0.1923849880695343,0.06832297891378403,0.970588207244873,0.9891923666000366
1,0.3116843104362488,0.001,0.08592164516448975,0.022055674344301224,0.9809523820877075,0.9846379160881042,0.07258191704750061,0.3827434778213501,0.10383747518062592,0.6764705777168274,0.986210823059082
2,0.19973064959049225,0.001,0.12999624013900757,0.036917563527822495,0.9809523820877075,0.992652177810669,0.13366417586803436,0.2434842586517334,0.06927710771560669,0.6764705777168274,0.9757949113845825
3,0.06527414172887802,0.001,0.5358834266662598,0.09059534221887589,1.0,0.9991121292114258,0.031687282025814056,0.49083369970321655,0.24731183052062988,0.6764705777168274,0.9901587963104248
4,0.04199191555380821,0.001,0.5452792644500732,0.15463916957378387,1.0,0.999255359172821,0.03884269297122955,0.401563823223114,0.2584269642829895,0.6764705777168274,0.9355992674827576
5,0.47732454538345337,0.001,0.07845188677310944,0.0371057502925396,0.9523809552192688,0.9719983339309692,0.11222287267446518,0.2789498567581177,0.0750407800078392,0.6764705777168274,0.9734731316566467
6,0.19632485508918762,0.001,0.1422271877527237,0.05323590710759163,0.9714285731315613,0.9933203458786011,0.06487154215574265,0.349875271320343,0.12568305432796478,0.6764705777168274,0.9763580560684204
7,0.41932448744773865,0.001,0.09729640185832977,0.049418605864048004,0.9714285731315613,0.9806764721870422,0.09899269789457321,0.3139374852180481,0.11702127754688263,0.970588207244873,0.9917697906494141
8,0.075087770819664,0.001,0.28077396750450134,0.09589041024446487,1.0,0.9977271556854248,0.038149394094944,0.47638070583343506,0.20264317095279694,0.6764705777168274,0.9923462271690369
9,0.11783795803785324,0.0005,0.24196857213974,0.10028929263353348,0.9904761910438538,0.9963057041168213,0.03351446986198425,0.5794165134429932,0.19742488861083984,0.6764705777168274,0.9914398789405823
10,0.14409148693084717,0.0005,0.45219409465789795,0.12951432168483734,0.9904761910438538,0.9933636784553528,0.04249066859483719,0.40474554896354675,0.19742488861083984,0.6764705777168274,0.9881559610366821
11,0.07765744626522064,0.0005,0.3139618933200836,0.11633109301328659,0.9904761910438538,0.998004674911499,0.028797166422009468,0.48554807901382446,0.2705882489681244,0.6764705777168274,0.9871137738227844
12,0.024255158379673958,0.0005,0.6610963344573975,0.24764150381088257,1.0,0.999563455581665,0.042963657528162,0.3718167841434479,0.2569832503795624,0.6764705777168274,0.9390697479248047
13,0.01797616109251976,0.0005,0.7787237167358398,0.30882352590560913,1.0,0.9997493624687195,0.04752654954791069,0.349800705909729,0.2874999940395355,0.6764705777168274,0.8709250092506409
14,0.012920195236802101,0.0005,0.7946555018424988,0.3874538838863373,1.0,0.9997854828834534,0.019308503717184067,0.57269686460495,0.4220183491706848,0.6764705777168274,0.8484722971916199
15,0.01909433864057064,0.0005,0.6790169477462769,0.32407405972480774,1.0,0.9996045231819153,0.024554211646318436,0.5164375901222229,0.356589138507843,0.6764705777168274,0.9721368551254272
16,0.05618135631084442,0.0005,0.6093722581863403,0.2506024241447449,0.9904761910438538,0.999268651008606,0.06923729181289673,0.30603474378585815,0.15916955471038818,0.6764705777168274,0.8855246305465698
17,0.00969687383621931,0.0005,0.8326416015625,0.4150197505950928,1.0,0.9998368620872498,0.018636567518115044,0.5633235573768616,0.4791666567325592,0.6764705777168274,0.9801841378211975
18,0.03788380324840546,0.0005,0.5055160522460938,0.22510822117328644,0.9904761910438538,0.9991511702537537,0.06047618016600609,0.35101422667503357,0.18473894894123077,0.6764705777168274,0.8448197245597839
19,0.03240330517292023,0.0005,0.5206771492958069,0.22875817120075226,1.0,0.9992262721061707,0.034709662199020386,0.42034754157066345,0.26900583505630493,0.6764705777168274,0.9474387764930725
