epoch,loss,lr,pr_auc,precision,recall,roc_auc,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,0.22791418433189392,0.001,0.18833830952644348,0.028579434379935265,0.9714285731315613,0.99129319190979,0.02460317127406597,0.49663934111595154,0.4852941036224365,0.970588207244873,0.982808530330658
1,0.1919582486152649,0.001,0.06610989570617676,0.04231717437505722,0.9809523820877075,0.9883835315704346,0.10920695215463638,0.13517262041568756,0.10654205828905106,0.8382353186607361,0.9688679575920105
2,0.280134379863739,0.001,0.0882788747549057,0.03045535273849964,0.9809523820877075,0.9833157658576965,0.12474355101585388,0.546540379524231,0.050108931958675385,0.6764705777168274,0.9696555733680725
3,0.10642289370298386,0.001,0.42490726709365845,0.06578115373849869,0.9904761910438538,0.9977530241012573,0.4303874969482422,0.0800941213965416,0.04125000163912773,0.970588207244873,0.9601994752883911
4,0.08698514103889465,0.001,0.26783907413482666,0.06726457178592682,1.0,0.997166633605957,0.029070308431982994,0.5329616665840149,0.23232322931289673,0.6764705777168274,0.975182294845581
5,0.08144456148147583,0.001,0.29564937949180603,0.08387096971273422,0.9904761910438538,0.9976046681404114,0.06749123334884644,0.5467435121536255,0.12602739036083221,0.6764705777168274,0.876862645149231
6,0.03846442326903343,0.0005,0.8103160858154297,0.14668546617031097,0.9904761910438538,0.9996680617332458,0.03409542888402939,0.5625854134559631,0.2395833283662796,0.6764705777168274,0.8279170393943787
7,0.022047333419322968,0.0005,0.8136905431747437,0.2639593780040741,0.9904761910438538,0.9997763633728027,0.02302936650812626,0.5691264271736145,0.5476190447807312,0.6764705777168274,0.8317359685897827
8,0.014008959755301476,0.0005,0.8250352740287781,0.33870968222618103,1.0,0.9998152852058411,0.031692806631326675,0.5308377146720886,0.38983049988746643,0.6764705777168274,0.8321912288665771
9,0.004632831085473299,0.0005,0.9098947644233704,0.6034482717514038,1.0,0.9999210238456726,0.02189006097614765,0.5701006650924683,0.5974025726318359,0.6764705777168274,0.8363432884216309
